cik,gvkey,ticker,company_name,filing_date,fiscal_year,mdna_total_word_count,mdna_total_sentence_count,mdna_total_char_count,n_ai_candidate_sentences,n_generic_ai_sentences,n_substantive_ai_implementation_sentences,n_substantive_ai_risk_governance_sentences,n_substantive_ai_total_sentences,ai_candidate_intensity,generic_ai_intensity,substantive_ai_implementation_intensity,substantive_ai_risk_governance_intensity,substantive_ai_total_intensity,generic_ai_share,substantive_ai_share,substantive_impl_share,substantive_risk_share,net_substantive_minus_generic,impl_minus_generic,risk_minus_generic,any_generic_ai_dummy,any_substantive_ai_dummy,any_substantive_ai_implementation_dummy,any_substantive_ai_risk_governance_dummy,n_dropped_duplicate_sentences,avg_classification_confidence
0000004281,28192,HWM,Howmet Aerospace Inc.,2023-02-14,2023,12056,362,77878,2,0,0,0,0,0.010368281353682814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,33,0.0
0000004281,28192,HWM,Howmet Aerospace Inc.,2024-02-13,2024,11790,355,76553,3,0,0,0,0,0.014249363867684479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,26,0.0
0000004281,28192,HWM,Howmet Aerospace Inc.,2025-02-14,2025,11712,342,75861,3,0,0,0,0,0.013831967213114754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0.0
0000004904,1440,AEP,"American Electric Power Company, Inc.",2019-02-21,2019,39784,1249,262716,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,251,0.0
0000004904,1440,AEP,"American Electric Power Company, Inc.",2020-02-20,2020,61706,1259,784770,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,276,0.0
0000004904,1440,AEP,"American Electric Power Company, Inc.",2021-02-25,2021,174030,4053,1505266,2,0,0,0,0,0.0003734988220421766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,910,1.0
0000004904,1440,AEP,"American Electric Power Company, Inc.",2022-02-24,2022,178008,4071,1535178,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,987,0.0
0000004904,1440,AEP,"American Electric Power Company, Inc.",2023-02-23,2023,185293,4293,1573755,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1070,0.0
0000004904,1440,AEP,"American Electric Power Company, Inc.",2024-02-26,2024,159213,3681,1393205,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,829,0.0
0000004904,1440,AEP,"American Electric Power Company, Inc.",2025-02-13,2025,167662,3822,1481061,2,1,0,1,1,0.00036979160453770083,0.00024453960945235056,0.0,0.0001252519950853503,0.0001252519950853503,0.5,0.5,0.0,0.5,-0.00011928761436700026,-0.00024453960945235056,-0.00011928761436700026,1,1,0,1,892,0.875
0000004962,1447,AXP,American Express Company,2019-02-13,2019,23187,612,150342,1,0,0,0,0,0.07577521887264416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,23,1.0
0000004962,1447,AXP,American Express Company,2020-02-13,2020,20257,535,131748,1,0,0,0,0,0.08890753813496569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,1.0
0000004962,1447,AXP,American Express Company,2021-02-12,2021,22765,591,148839,3,0,0,1,1,0.0976938282451131,0.0,0.0,0.0008346145398638261,0.0008346145398638261,0.0,1.0,0.0,1.0,0.0008346145398638261,0.0,0.0008346145398638261,0,1,0,1,11,0.875
