gvkey,fyear,datadate,capx,intan,prcc_f
001559,2020,2020-12-31,0.4550,1.3430,2.220000000000
001559,2021,2021-12-31,1.6740,1.3430,2.370000000000
001559,2022,2022-12-31,0.3880,1.3430,2.930000000000
001559,2023,2023-12-31,6.2730,1.3430,2.379400000000
001559,2024,2024-12-31,7.9380,1.3430,3.190000000000
001562,2018,2019-04-30,1.2520,39.6830,12.950000000000
001562,2019,2020-04-30,0.4200,35.3820,16.480000000000
001562,2020,2021-04-30,0.6780,31.0150,20.690000000000
001562,2021,2022-04-30,0.9340,27.6210,17.100000000000
001562,2022,2023-04-30,3.9220,32.0920,11.940000000000
001562,2023,2024-04-30,0.5670,56.3600,10.110000000000
001585,2018,2018-12-31,8.0500,212.3730,15.190000000000
001585,2019,2019-12-31,12.9850,244.9340,19.470000000000
001585,2020,2020-12-31,11.2490,249.6220,15.520000000000
001585,2021,2021-12-31,9.5180,244.1010,16.390000000000
001585,2022,2022-12-31,13.2610,231.6740,21.710000000000
001585,2023,2023-12-31,11.8780,223.7070,10.970000000000
001585,2024,2024-12-31,7.2790,170.1980,4.630000000000
001585,2025,2025-12-31,3.9190,138.7460,3.820000000000
001598,2018,2018-12-31,82.0760,6015.8040,67.700000000000
001598,2019,2019-12-31,102.3460,6810.4110,99.740000000000
001598,2020,2020-12-31,74.1990,6848.6250,120.940000000000
001598,2021,2021-12-31,110.6710,8607.3550,147.040000000000
001598,2022,2022-12-31,139.0050,8714.6470,139.720000000000
001598,2023,2023-12-31,136.2490,10612.9460,164.890000000000
001598,2024,2024-12-31,127.0750,10471.0500,180.260000000000
001598,2025,2025-12-31,130.2480,11299.1640,205.310000000000
001602,2018,2018-12-31,738.0000,22142.0000,194.670000000000
001602,2019,2019-12-31,618.0000,34116.0000,241.070000000000
001602,2020,2020-12-31,608.0000,31276.0000,229.920000000000
001602,2021,2021-12-31,880.0000,30072.0000,224.970000000000
001602,2022,2022-12-31,936.0000,31609.0000,262.640000000000
001602,2023,2023-12-31,1112.0000,51270.0000,288.020000000000
001602,2024,2024-12-31,1096.0000,46336.0000,260.640000000000
001602,2025,2025-12-31,1858.0000,40956.0000,327.310000000000
001613,2018,2018-12-31,9.7190,9.2250,3.100000000000
001613,2019,2019-12-31,10.9640,7.6250,3.010000000000
001613,2020,2020-12-31,8.4660,7.2170,5.480000000000
001613,2021,2021-12-31,15.2360,6.2040,5.000000000000
001613,2022,2022-12-31,16.6880,5.1940,2.510000000000
001613,2023,2023-12-31,20.4480,4.9470,2.730000000000
001613,2024,2024-12-31,12.1940,4.2550,2.090000000000
001613,2025,2025-12-31,9.4050,4.6310,5.330000000000
001618,2018,2019-04-30,0.0080,0.0000,5.580000000000
001618,2019,2020-04-30,0.0090,0.0000,4.840000000000
001618,2020,2021-04-30,0.0050,0.0000,10.700000000000
001618,2021,2022-04-30,1.2870,0.0000,12.860000000000
001618,2022,2023-04-30,0.1310,0.0000,13.900000000000
001618,2023,2024-04-30,0.4570,0.0000,20.284000000000
001618,2024,2025-04-30,0.5830,0.0000,22.550000000000
001632,2018,2018-10-31,254.8760,17030.7960,83.710000000000
001632,2019,2019-10-31,275.3720,16474.1040,106.630000000000
001632,2020,2020-10-31,165.6920,15928.7050,118.530000000000
001632,2021,2021-10-31,343.6760,42185.6400,173.490000000000
001632,2022,2022-10-31,699.3080,40178.5400,142.620000000000
001632,2023,2023-10-31,1261.4630,38225.0910,157.330000000000
001632,2024,2024-10-31,730.4630,36495.2390,223.110000000000
001632,2025,2025-10-31,533.5520,34958.9950,234.130000000000
001650,2018,2018-12-31,0.0240,0.2630,0.056880000000
001650,2019,2019-12-31,0.0000,0.2300,0.021000000000
001650,2020,2020-12-31,0.0060,0.2130,0.036000000000
001650,2021,2021-12-31,0.0290,0.1940,0.029500000000
001650,2022,2022-12-31,0.0110,0.1590,0.030000000000
001659,2018,2018-12-31,309.5840,105.1620,29.890000000000
001659,2019,2019-12-31,270.4770,310.6720,25.280000000000
001659,2020,2020-12-31,104.8860,278.6490,24.510000000000
001659,2021,2021-12-31,75.7660,246.4790,38.710000000000
001659,2022,2022-12-31,108.2840,230.2490,34.990000000000
001659,2023,2023-12-31,150.4430,213.4350,57.540000000000
001659,2024,2024-12-31,149.1870,197.2010,40.520000000000
001659,2025,2025-12-31,233.1230,191.3660,53.170000000000
001661,2018,2018-12-31,458.9380,183.9140,2.000000000000
001661,2019,2019-12-31,427.7410,28.3800,2.880000000000
001661,2020,2020-12-31,195.5230,,58.230000000000
001661,2021,2021-12-31,234.0400,,81.090000000000
001661,2022,2022-12-31,373.4450,,154.870000000000
001661,2023,2023-12-31,540.8510,,81.630000000000
001661,2024,2024-12-31,567.9190,,57.170000000000
001661,2025,2025-12-31,715.9480,,54.300000000000
001678,2018,2018-12-31,3904.0000,87.0000,26.250000000000
001678,2019,2019-12-31,2961.0000,87.0000,25.590000000000
001678,2020,2020-12-31,1302.0000,0.0000,14.190000000000
001678,2021,2021-12-31,1113.0000,0.0000,26.890000000000
001678,2022,2022-12-31,2398.0000,0.0000,46.680000000000
001678,2023,2023-12-31,2357.0000,0.0000,35.880000000000
001678,2024,2024-12-31,2911.0000,0.0000,23.090000000000
001678,2025,2025-12-31,2766.0000,0.0000,24.460000000000
001686,2018,2019-02-28,60.7170,334.0670,35.690000000000
001686,2019,2020-02-29,51.4280,325.7070,30.190000000000
001686,2020,2021-02-28,26.1650,260.1510,37.400000000000
001686,2021,2022-02-28,21.8410,202.5830,45.070000000000
001686,2022,2023-02-28,45.1770,196.4010,45.760000000000
001686,2023,2024-02-29,43.1800,195.2960,57.210000000000
001686,2024,2025-02-28,35.5930,364.1920,47.940000000000
001689,2018,2018-12-31,780.7000,0.0000,
